"participantId","prolific_pid","expLang","consented","signedAtISO","countryTaking","yearsThere","countryLongest","nativeLanguage","otherLanguages","age","gender","profession","colorBlindness","ishihara_plate_0","ishihara_plate_6","ishihara_plate_4","ishihara_plate_3","ishihara_plate_1","ishihara_plate_10","ishihara_plate_8","ishihara_plate_2","ishihara_plate_7","ishihara_plate_5","ishihara_plate_9"
"5dcc27974b54778b69e62ec5","5dcc27974b54778b69e62ec5","en",TRUE,"2026-02-20T19:55:08.666Z","United States of America",50,"United States of America","English","English",50,"Woman","Marketing Manager","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"5de30dd39a9da5342d09f2e8","5de30dd39a9da5342d09f2e8","en",TRUE,"2026-02-20T20:12:18.492Z","United States of America",52,"United States of America","English","NA",52,"Woman","Musician","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"62cd9b920ed1b7c1648818d3","62cd9b920ed1b7c1648818d3","en",TRUE,"2026-02-20T19:54:35.508Z","United States of America",77,"United States of America","English","NA",78,"Woman","AI Trainer","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"636ebb19aa1d1be8c41cc46e","636ebb19aa1d1be8c41cc46e","en",TRUE,"2026-02-20T21:01:24.667Z","United States of America",68,"United States of America","English","NA",68,"Man","payroll specialist","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"63c047ef36e1348b19bb8010","63c047ef36e1348b19bb8010","en",TRUE,"2026-02-20T20:22:40.992Z","United States of America",39,"United States of America","English","NA",39,"Woman","bookkeeper","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66594968a8fca6ea85c9ac19","66594968a8fca6ea85c9ac19","en",TRUE,"2026-02-20T20:34:11.016Z","United States of America",27,"United States of America","English","NA",27,"Man","Analyst","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"66d67aa08e6caa907b2bf04b","66d67aa08e6caa907b2bf04b","en",TRUE,"2026-02-20T20:22:52.916Z","United States of America",48,"United States of America","English","NA",48,"Man","Telecommunications","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"69698037e442102b583983c0","69698037e442102b583983c0","en",TRUE,"2026-02-20T21:12:15.229Z","United States of America",34,"United States of America","English","NA",38,"Woman","Professor","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"698a83c18e2796e0c943f91e","698a83c18e2796e0c943f91e","en",TRUE,"2026-02-20T20:36:45.024Z","United States of America",23,"United States of America","English","NA",23,"Woman","student","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"698d335b438faf3e936f9e4f","698d335b438faf3e936f9e4f","en",TRUE,"2026-02-20T19:57:02.585Z","United States of America",32,"United States of America","English","NA",32,"Man","Economist","No",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
