firstConceptsSet,trialidx,blockidx,answer,color,concept,ID,idx
"abstract",1,1,81,"MB","angry","20231121-2048-ABS-0wd7krjx",1
"abstract",2,1,99,"SR","angry","20231121-2048-ABS-0wd7krjx",2
"abstract",3,1,50,"LY","angry","20231121-2048-ABS-0wd7krjx",3
"abstract",4,1,0.9999999999999998,"SB","angry","20231121-2048-ABS-0wd7krjx",4
"abstract",5,1,0,"MC","angry","20231121-2048-ABS-0wd7krjx",5
"abstract",6,1,73,"MR","angry","20231121-2048-ABS-0wd7krjx",6
"abstract",7,1,22,"MG","angry","20231121-2048-ABS-0wd7krjx",7
"abstract",8,1,40.99999999999999,"DB","angry","20231121-2048-ABS-0wd7krjx",8
"abstract",9,1,17.999999999999996,"SP","angry","20231121-2048-ABS-0wd7krjx",9
"abstract",10,1,83,"DY","angry","20231121-2048-ABS-0wd7krjx",10
"abstract",11,1,22.999999999999996,"SH","angry","20231121-2048-ABS-0wd7krjx",11
"abstract",12,1,26,"SC","angry","20231121-2048-ABS-0wd7krjx",12
"abstract",13,1,12,"DP","angry","20231121-2048-ABS-0wd7krjx",13
"abstract",14,1,27.999999999999996,"DO","angry","20231121-2048-ABS-0wd7krjx",14
"abstract",15,1,81.99999999999999,"MO","angry","20231121-2048-ABS-0wd7krjx",15
"abstract",16,1,13.999999999999998,"DH","angry","20231121-2048-ABS-0wd7krjx",16
"abstract",17,1,0.9999999999999998,"MY","angry","20231121-2048-ABS-0wd7krjx",17
"abstract",18,1,50,"A3","angry","20231121-2048-ABS-0wd7krjx",18
"abstract",19,1,16,"WH","angry","20231121-2048-ABS-0wd7krjx",19
"abstract",20,1,22.999999999999996,"LC","angry","20231121-2048-ABS-0wd7krjx",20
"abstract",21,1,33,"LP","angry","20231121-2048-ABS-0wd7krjx",21
"abstract",22,1,59,"DG","angry","20231121-2048-ABS-0wd7krjx",22
"abstract",23,1,71.99999999999999,"DC","angry","20231121-2048-ABS-0wd7krjx",23
"abstract",24,1,71,"LO","angry","20231121-2048-ABS-0wd7krjx",24
"abstract",25,1,26,"SO","angry","20231121-2048-ABS-0wd7krjx",25
"abstract",26,1,19,"A2","angry","20231121-2048-ABS-0wd7krjx",26
"abstract",27,1,13,"LB","angry","20231121-2048-ABS-0wd7krjx",27
"abstract",28,1,17.999999999999996,"BK","angry","20231121-2048-ABS-0wd7krjx",28
"abstract",29,1,8,"MH","angry","20231121-2048-ABS-0wd7krjx",29
"abstract",30,1,1.9999999999999996,"MP","angry","20231121-2048-ABS-0wd7krjx",30
"abstract",31,1,13.999999999999998,"DR","angry","20231121-2048-ABS-0wd7krjx",31
"abstract",32,1,16,"LG","angry","20231121-2048-ABS-0wd7krjx",32
"abstract",33,1,21,"A1","angry","20231121-2048-ABS-0wd7krjx",33
"abstract",34,1,28.999999999999996,"LR","angry","20231121-2048-ABS-0wd7krjx",34
"abstract",35,1,17,"SY","angry","20231121-2048-ABS-0wd7krjx",35
"abstract",36,1,30.999999999999996,"SG","angry","20231121-2048-ABS-0wd7krjx",36
"abstract",37,1,27.999999999999996,"LH","angry","20231121-2048-ABS-0wd7krjx",37
"abstract",1,2,0,"MB","banana","20231121-2048-ABS-0wd7krjx",38
"abstract",2,2,0,"SR","banana","20231121-2048-ABS-0wd7krjx",39
"abstract",3,2,100,"LY","banana","20231121-2048-ABS-0wd7krjx",40
"abstract",4,2,0,"SB","banana","20231121-2048-ABS-0wd7krjx",41
"abstract",5,2,0,"MC","banana","20231121-2048-ABS-0wd7krjx",42
"abstract",6,2,0,"MR","banana","20231121-2048-ABS-0wd7krjx",43
"abstract",7,2,74,"MG","banana","20231121-2048-ABS-0wd7krjx",44
"abstract",8,2,0,"DB","banana","20231121-2048-ABS-0wd7krjx",45
"abstract",9,2,0,"SP","banana","20231121-2048-ABS-0wd7krjx",46
"abstract",10,2,78,"DY","banana","20231121-2048-ABS-0wd7krjx",47
"abstract",11,2,50.99999999999999,"SH","banana","20231121-2048-ABS-0wd7krjx",48
"abstract",12,2,0.9999999999999998,"SC","banana","20231121-2048-ABS-0wd7krjx",49
"abstract",13,2,0,"DP","banana","20231121-2048-ABS-0wd7krjx",50
"abstract",14,2,0,"DO","banana","20231121-2048-ABS-0wd7krjx",51
"abstract",15,2,71,"MO","banana","20231121-2048-ABS-0wd7krjx",52
"abstract",16,2,50.99999999999999,"DH","banana","20231121-2048-ABS-0wd7krjx",53
"abstract",17,2,100,"MY","banana","20231121-2048-ABS-0wd7krjx",54
"abstract",18,2,0,"A3","banana","20231121-2048-ABS-0wd7krjx",55
"abstract",19,2,0,"WH","banana","20231121-2048-ABS-0wd7krjx",56
"abstract",20,2,0,"LC","banana","20231121-2048-ABS-0wd7krjx",57
"abstract",21,2,0,"LP","banana","20231121-2048-ABS-0wd7krjx",58
"abstract",22,2,75,"DG","banana","20231121-2048-ABS-0wd7krjx",59
"abstract",23,2,0,"DC","banana","20231121-2048-ABS-0wd7krjx",60
"abstract",24,2,0.9999999999999998,"LO","banana","20231121-2048-ABS-0wd7krjx",61
"abstract",25,2,0,"SO","banana","20231121-2048-ABS-0wd7krjx",62
"abstract",26,2,1.9999999999999996,"A2","banana","20231121-2048-ABS-0wd7krjx",63
"abstract",27,2,0,"LB","banana","20231121-2048-ABS-0wd7krjx",64
"abstract",28,2,100,"BK","banana","20231121-2048-ABS-0wd7krjx",65
"abstract",29,2,57,"MH","banana","20231121-2048-ABS-0wd7krjx",66
"abstract",30,2,0.9999999999999998,"MP","banana","20231121-2048-ABS-0wd7krjx",67
"abstract",31,2,0,"DR","banana","20231121-2048-ABS-0wd7krjx",68
"abstract",32,2,52.05,"LG","banana","20231121-2048-ABS-0wd7krjx",69
"abstract",33,2,0,"A1","banana","20231121-2048-ABS-0wd7krjx",70
"abstract",34,2,0,"LR","banana","20231121-2048-ABS-0wd7krjx",71
"abstract",35,2,100,"SY","banana","20231121-2048-ABS-0wd7krjx",72
"abstract",36,2,78,"SG","banana","20231121-2048-ABS-0wd7krjx",73
"abstract",37,2,79,"LH","banana","20231121-2048-ABS-0wd7krjx",74
"",1,1,0,"SO","hurricane","20231122-2034-ABS-5qz2wwoo",1
"",2,1,0,"LR","hurricane","20231122-2034-ABS-5qz2wwoo",2
"",3,1,0,"SY","hurricane","20231122-2034-ABS-5qz2wwoo",3
"",4,1,0,"DY","hurricane","20231122-2034-ABS-5qz2wwoo",4
"",5,1,0,"MY","hurricane","20231122-2034-ABS-5qz2wwoo",5
"",6,1,0,"LH","hurricane","20231122-2034-ABS-5qz2wwoo",6
"",7,1,0,"MP","hurricane","20231122-2034-ABS-5qz2wwoo",7
"",8,1,66,"A3","hurricane","20231122-2034-ABS-5qz2wwoo",8
"",9,1,0,"MB","hurricane","20231122-2034-ABS-5qz2wwoo",9
"",10,1,28.999999999999996,"LG","hurricane","20231122-2034-ABS-5qz2wwoo",10
"",11,1,0,"LY","hurricane","20231122-2034-ABS-5qz2wwoo",11
"",12,1,0,"LP","hurricane","20231122-2034-ABS-5qz2wwoo",12
"",13,1,0,"DR","hurricane","20231122-2034-ABS-5qz2wwoo",13
"",14,1,0,"DG","hurricane","20231122-2034-ABS-5qz2wwoo",14
"",15,1,50,"SC","hurricane","20231122-2034-ABS-5qz2wwoo",15
"",16,1,0,"SH","hurricane","20231122-2034-ABS-5qz2wwoo",16
"",17,1,84,"DB","hurricane","20231122-2034-ABS-5qz2wwoo",17
"",18,1,0,"DO","hurricane","20231122-2034-ABS-5qz2wwoo",18
"",19,1,0,"SR","hurricane","20231122-2034-ABS-5qz2wwoo",19
"",20,1,70,"LB","hurricane","20231122-2034-ABS-5qz2wwoo",20
"",21,1,73,"WH","hurricane","20231122-2034-ABS-5qz2wwoo",21
"",22,1,94,"A1","hurricane","20231122-2034-ABS-5qz2wwoo",22
"",23,1,0,"MG","hurricane","20231122-2034-ABS-5qz2wwoo",23
"",24,1,52.99999999999999,"SB","hurricane","20231122-2034-ABS-5qz2wwoo",24
"",25,1,0,"MO","hurricane","20231122-2034-ABS-5qz2wwoo",25
"",26,1,0,"SP","hurricane","20231122-2034-ABS-5qz2wwoo",26
